title,date
The Ultimate Fighter 1 Finale,2026-03-01
The Ultimate Fighter 2 Finale,2026-03-01
The Ultimate Fighter 3 Finale,2026-03-01
The Ultimate Fighter 4 Finale,2026-03-01
The Ultimate Fighter 5 Finale,2026-03-01
The Ultimate Fighter: Heavyweights Finale,2026-03-01
The Ultimate Fighter: Team Bisping vs. Team Miller Finale,2013-02-01
The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,2026-03-01
The Ultimate Fighter: Team Hughes vs. Team Serra Finale,2026-03-01
The Ultimate Fighter: Team Lesnar vs. Team dos Santos Finale,2026-03-01
The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,2026-03-01
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,2017-02-01
The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,2026-03-01
The Ultimate Fighter: United States vs. United Kingdom Finale,2026-03-01
UFC Fight Night: Joanna vs. Waterson,2019-10-12
UFC Fight Night: Jędrzejczyk vs. Penne,2015-06-20
UFC Fight Night: Kape vs. Almabayev,2025-03-01
UFC Fight Night: Kape vs. Horiguchi,2026-06-20
UFC Fight Night: Kattar vs. Allen,2022-10-29
UFC Fight Night: Ladd vs. Dumont,2021-10-16
UFC Fight Night: Lauzon vs. Stephens,2009-02-07
UFC Fight Night: Lee vs. Oliveira,2020-03-14
UFC Fight Night: Lemos vs. Andrade,2022-04-23
UFC Fight Night: Lewis vs. Abdurakhimov,2016-12-09
UFC Fight Night: Lewis vs. Browne,2017-02-19
UFC Fight Night: Lewis vs. Daukaus,2021-12-18
UFC Fight Night: Lewis vs. Hunt,2017-03-01
UFC Fight Night: Lewis vs. Oleinik,2020-08-08
UFC Fight Night: Lewis vs. Spivac,2023-02-04
UFC Fight Night: Lewis vs. dos Santos,2019-03-09
UFC Fight Night: Lineker vs. Dodson,2016-10-01
UFC Fight Night: Lopes vs. Silva,2025-09-13
UFC Fight Night: MacDonald vs. Saffiedine,2014-10-04
UFC Fight Night: MacDonald vs. Thompson,2016-06-18
UFC Fight Night: Machida vs. Anders,2018-02-03
UFC Fight Night: Machida vs. Dollaway,2014-12-20
UFC Fight Night: Machida vs. Mousasi,2014-02-15
UFC Fight Night: Machida vs. Muñoz,2022-04-01
UFC Fight Night: Machida vs. Romero,2015-06-27
UFC Fight Night: Magny vs. Ponzinibbio,2018-11-17
UFC Fight Night: Magny vs. Prates,2024-11-09
UFC Fight Night: Magomedsharipov vs. Kattar,2019-11-09
UFC Fight Night: Maia vs. Askren,2019-10-26
UFC Fight Night: Maia vs. LaFlare,2015-03-21
UFC Fight Night: Maia vs. Shields,2013-10-09
UFC Fight Night: Maia vs. Usman,2018-05-19
UFC Fight Night: Makhachev vs. Green,2022-02-26
UFC Fight Night: Manuwa vs. Anderson,2017-06-01
UFC Fight Night: Marquardt vs. Palhares,2010-09-15
UFC Fight Night: Maynard vs. Diaz,2012-05-01
UFC Fight Night: McDonald vs. Lineker,2016-07-13
UFC Fight Night: McGregor vs. Brandão,2022-04-01
UFC Fight Night: McGregor vs. Siver,2015-01-18
UFC Fight Night: Medić vs. Rodriguez,2026-08-01
UFC Fight Night: Mendes vs. Lamas,2015-04-04
UFC Fight Night: Miocic vs. Hunt,2015-08-01
UFC Fight Night: Mir vs. Duffee,2015-07-15
UFC Fight Night: Moicano vs. Duncan,2026-04-04
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28
