,,date,stake,price,profit,p_bet,bet_side
"near close, 5% margin|25.0",8081,2025-03-22,1.2555595940982494,4.008961931783412,3.7779310217270656,0.2682885591672536,b
"near close, 5% margin|25.0",8106,2025-04-05,2.848701407756199,1.900066217154063,2.564019899880576,0.5532861899793309,b
"near close, 5% margin|25.0",8107,2025-04-05,2.0352791580459257,2.412543788292318,-2.0352791580459257,0.4383333574191024,b
"near close, 5% margin|25.0",8114,2025-04-05,1.9791819077087738,2.38654730431449,-1.9791819077087738,0.44201285466689566,b
"near close, 5% margin|25.0",8117,2025-04-05,3.448879704622687,1.3022958801498128,1.0425821258397416,0.7838861030562108,b
"near close, 5% margin|25.0",8121,2025-04-12,0.8654494264821686,2.5483982906155553,-0.8654494264821686,0.4029202232762306,a
"near close, 5% margin|25.0",8127,2025-04-12,0.8052236005867663,2.642283460403694,-0.8052236005867663,0.38847009543275274,a
"near close, 5% margin|25.0",8132,2025-04-26,3.103496694817835,1.9314751620642658,2.890830086771356,0.54767289919736,a
"near close, 5% margin|25.0",8139,2025-04-26,0.7982606991087839,4.372686435410485,-0.7982606991087839,0.2410064559173405,b
"near close, 5% margin|25.0",8149,2025-05-03,0.49509935988228143,3.758606407652057,-0.49509935988228143,0.27332356036014477,a
"near close, 5% margin|25.0",8166,2025-05-10,1.4025159528847562,2.500857522881671,2.104976618848642,0.41669688210633826,b
"near close, 5% margin|25.0",8175,2025-05-17,2.256064839448838,1.4856427856427854,-2.256064839448838,0.6878590480431457,b
"near close, 5% margin|25.0",8186,2025-05-31,0.9804286666448994,2.563795417369785,-0.9804286666448994,0.40200703618407674,b
"near close, 5% margin|25.0",8208,2025-06-14,0.6832089767280567,3.718395136323713,0.0,0.2789226537699285,a
"near close, 5% margin|25.0",8213,2025-06-14,0.604599021919069,3.0012410238146963,-0.604599021919069,0.3412584858015356,b
"near close, 5% margin|25.0",8218,2025-06-21,1.846249293474006,3.075695330307748,3.832251037047973,0.35004930759290537,a
"near close, 5% margin|25.0",8219,2025-06-21,0.8052523934427452,2.5060203526761438,-0.8052523934427452,0.40871756240029417,a
"near close, 5% margin|25.0",8224,2025-06-21,4.511115649603978,1.390742204655248,1.7626832743810497,0.7443893354370811,a
"near close, 5% margin|25.0",8226,2025-06-21,2.301098729442208,1.8812253651409003,-2.301098729442208,0.553126568800875,a
"near close, 5% margin|25.0",8229,2025-06-28,3.2044653734479898,1.584242424242424,1.8721846181841582,0.6548516038255844,a
"near close, 5% margin|25.0",8240,2025-07-12,0.9873877594431311,2.8491118048537776,1.8257903619544156,0.36380313523438035,b
"near close, 5% margin|25.0",8243,2025-07-12,0.5104484085421076,3.4132902674203205,-0.5104484085421076,0.3001904682139713,a
"near close, 5% margin|25.0",8247,2025-07-12,1.9562586331138072,1.6992347921827688,1.3678840987810805,0.6046001922170621,b
"near close, 5% margin|25.0",8265,2025-07-26,0.5268604916865611,3.7166359254762806,-0.5268604916865611,0.2767625840717179,a
"near close, 5% margin|25.0",8275,2025-07-26,0.9324471276664607,2.2531599814369403,1.16850542519743,0.45419327386211605,b
"near close, 5% margin|25.0",8280,2025-08-02,5.0,1.4055049122241747,2.027524561120874,0.7473987633530212,a
