page,event,event_url,date,f1,f1_url,f1_open,f1_close_lo,f1_close_hi,f1_spark,f2,f2_url,f2_open,f2_close_lo,f2_close_hi
/fighters/edson-barboza-2099,UFC 146: Dos Santos vs. Mir,/events/ufc-146-dos-santos-vs-mir-502,2012-05-26,Edson Barboza,/fighters/edson-barboza-2099,-310.0,-540.0,-510.0,"1.32258, 1.18868, 1.19231, 1.196155, 1.19091, 1.2, 1.205265, 1.19091, 1.18992, 1.190635",Jamie Varner,/fighters/jamie-varner-148,230.0,415.0,460.0
/fighters/edson-barboza-2099,UFC 142: Aldo vs. Mendes,/events/ufc-142-aldo-vs-mendes-474,2012-01-14,Edson Barboza,/fighters/edson-barboza-2099,-250.0,-305.0,-305.0,"1.4, 1.37736, 1.37037, 1.35714, 1.36364, 1.32787",Terry Etim,/fighters/terry-etim-195,210.0,275.0,275.0
/fighters/edson-barboza-2099,UFC 134: Silva vs. Okami,/events/ufc-134-silva-vs-okami-389,2011-08-27,Edson Barboza,/fighters/edson-barboza-2099,-260.0,-270.0,-270.0,"1.38462, 1.38462, 1.37037, 1.35714, 1.34483, 1.33333, 1.3125, 1.34483, 1.37037, 1.37037",Ross Pearson,/fighters/ross-pearson-1420,180.0,248.0,248.0
/fighters/edson-barboza-2099,UFC 128: Shogun vs. Jones,/events/ufc-128-shogun-vs-jones-346,2011-03-19,Edson Barboza,/fighters/edson-barboza-2099,-300.0,-260.0,-260.0,"1.33333, 1.42553, 1.37037, 1.36364, 1.37037, 1.35714, 1.34483, 1.37037, 1.37736, 1.38462",Anthony Njokuani,/fighters/anthony-njokuani-189,220.0,220.0,220.0
/fighters/edson-barboza-2099,UFC 123: Rampage vs. Machida,/events/ufc-123-rampage-vs-machida-317,2010-11-20,Edson Barboza,/fighters/edson-barboza-2099,-550.0,-445.0,-445.0,"1.18182, 1.2, 1.20408, 1.21053, 1.22222, 1.22472",Mike Lullo,/fighters/mike-lullo-2207,400.0,355.0,355.0
/fighters/eduarda-moura-16318,UFC 331,/events/ufc-331-4302,2026-09-19,Eduarda Moura,/fighters/eduarda-moura-16318,174.0,145.0,160.0,"2.74, 2.45, 2.445, 2.4233333333333, 2.4283333333333, 2.4766666666667, 2.4583333333333, 2.465, 2.4533333333333, 2.5083333333333",Casey O'Neill,/fighters/casey-o-neill-10524,-200.0,-196.0,-180.0
/fighters/eduarda-moura-16318,UFC Fight Night,/events/ufc-fight-night-4026,2026-02-07,Eduarda Moura,/fighters/eduarda-moura-16318,163.0,250.0,275.0,"2.63, 2.7166666666667, 2.8, 2.98, 3.325, 3.6583333333333, 3.6833333333333, 3.6916666666667, 3.725, 3.625",Wang Cong,/fighters/wang-cong-18152,-225.0,-360.0,-300.0
/fighters/eduarda-moura-16318,UFC Fight Night,/events/ufc-fight-night-3748,2025-07-12,Eduarda Moura,/fighters/eduarda-moura-16318,-350.0,-670.0,-600.0,"1.28571, 1.151665, 1.1523933333333, 1.1527575, 1.1559625, 1.1559625",Lauren Murphy,/fighters/lauren-murphy-4580,240.0,420.0,460.0
/fighters/eduarda-moura-16318,UFC,/events/ufc-3538,2024-11-16,Eduarda Moura,/fighters/eduarda-moura-16318,114.0,-140.0,-124.0,"2.14, 2.195, 2.245, 2.2833333333333, 2.248, 2.29, 2.245, 2.2266666666667, 2.17, 1.7575",Veronica Hardy,/fighters/veronica-hardy-16779,-135.0,100.0,118.0
/fighters/eduarda-moura-16318,UFC Fight Night,/events/ufc-fight-night-3313,2024-06-08,Eduarda Moura,/fighters/eduarda-moura-16318,-163.0,-218.0,-200.0,"1.6135, 1.5728366666667, 1.56389, 1.553612, 1.5721166666667, 1.5749183333333, 1.573425, 1.5882266666667, 1.5187283333333, 1.4852733333333",Denise Gomes,/fighters/denise-gomes-13433,120.0,163.0,180.0
