fm_path,name,sherdog
/fighter-profile/Hamdy%20Abdelwahab/211686/,Hamdy Abdelwahab,http://www.sherdog.com/fighter/Hamdy-Abdelwahab-331853
/fighter-profile/Josh%20Parisian/138880/,Josh Parisian,http://www.sherdog.com/fighter/Josh-Parisian-181225
/fighter-profile/Roque%20Martinez/42901/,Roque Martinez,http://www.sherdog.com/fighter/Roque-Martinez-22115
/fighter-profile/Jeff%20Hughes/4009/,Jeff Hughes,http://www.sherdog.com/fighter/Jeff-Hughes-23793
/fighter-profile/Billy%20Elekana/172579/,Billy Elekana,http://www.sherdog.com/fighter/Billy-Elekana-250351
/fighter-profile/Zac%20Pauga/217213/,Zac Pauga,http://www.sherdog.com/fighter/Zac-Pauga-343389
/fighter-profile/Azamat%20Murzakanov/61426/,Azamat Murzakanov,http://www.sherdog.com/fighter/Azamat-Murzakanov-60203
/fighter-profile/Justin%20Ledet/73535/,Justin Ledet,http://www.sherdog.com/fighter/Justin-Ledet-72052
/fighter-profile/Mingyang%20Zhang/168972/,Mingyang Zhang,http://www.sherdog.com/fighter/Mingyang-Zhang-243033
/fighter-profile/Misha%20Cirkunov/60387/,Misha Cirkunov,http://www.sherdog.com/fighter/Misha-Cirkunov-59197
/fighter-profile/Hector%20Lombard/23232/,Hector Lombard,http://www.sherdog.com/fighter/Hector-Lombard-11292
/fighter-profile/Elvis%20Mutapcic/8209/,Elvis Mutapcic,http://www.sherdog.com/fighter/Elvis-Mutapcic-28038
/fighter-profile/Cezar%20Ferreira/43183/,Cezar Ferreira,http://www.sherdog.com/fighter/Cezar-Ferreira-22400
/fighter-profile/Leonardo%20Guimaraes/26874/,Leonardo Guimaraes,http://www.sherdog.com/fighter/Leonardo-Guimaraes-14971
/fighter-profile/Antonio%20Braga%20Neto/37357/,Antonio Braga Neto,http://www.sherdog.com/fighter/Antonio-Braga-Neto-19530
/fighter-profile/Kevin%20Holland/100357/,Kevin Holland,http://www.sherdog.com/fighter/Kevin-Holland-108999
/fighter-profile/David%20Branch/18573/,David Branch,http://www.sherdog.com/fighter/David-Branch-32431
/fighter-profile/Eric%20Spicely/66938/,Eric Spicely,http://www.sherdog.com/fighter/Eric-Spicely-63723
/fighter-profile/Gegard%20Mousasi/13436/,Gegard Mousasi,http://www.sherdog.com/fighter/Gegard-Mousasi-7466
/fighter-profile/Nate%20Marquardt/1697/,Nate Marquardt,http://www.sherdog.com/fighter/Nate-Marquardt-1712
/fighter-profile/Elias%20Theodorou/83923/,Elias Theodorou,http://www.sherdog.com/fighter/Elias-Theodorou-81765
/fighter-profile/Steve%20Bosse/43512/,Steve Bosse,http://www.sherdog.com/fighter/Steve-Bosse-22732
/fighter-profile/Andy%20Enz/62588/,Andy Enz,http://www.sherdog.com/fighter/Andy-Enz-61422
/fighter-profile/Ronny%20Markes/38969/,Ronny Markes,http://www.sherdog.com/fighter/Ronny-Markes-21175
/fighter-profile/Alonzo%20Menifield/153834/,Alonzo Menifield,http://www.sherdog.com/fighter/Alonzo-Menifield-210501
/fighter-profile/Ed%20Herman/12537/,Ed Herman,http://www.sherdog.com/fighter/Ed-Herman-6561
/fighter-profile/Stanislav%20Nedkov/7288/,Stanislav Nedkov,http://www.sherdog.com/fighter/Stanislav-Nedkov-27115
/fighter-profile/Cody%20Donovan/43089/,Cody Donovan,http://www.sherdog.com/fighter/Cody-Donovan-22304
/fighter-profile/Soa%20Palelei/21646/,Soa Palelei,http://www.sherdog.com/fighter/Soa-Palelei-9680
/fighter-profile/Ibo%20Aslan/170880/,Ibo Aslan,http://www.sherdog.com/fighter/Ibo-Aslan-247071
/fighter-profile/Gadzhimurad%20Antigulov/55978/,Gadzhimurad Antigulov,http://www.sherdog.com/fighter/Gadzhimurad-Antigulov-55325
/fighter-profile/Jonathan%20Wilson/100147/,Jonathan Wilson,http://www.sherdog.com/fighter/Jonathan-Wilson-108571
/fighter-profile/Edmen%20Shahbazyan/171163/,Edmen Shahbazyan,http://www.sherdog.com/fighter/Edmen-Shahbazyan-247691
/fighter-profile/Cody%20Brundage/187952/,Cody Brundage,http://www.sherdog.com/fighter/Cody-Brundage-281913
/fighter-profile/Markus%20Perez/113927/,Markus Perez,http://www.sherdog.com/fighter/Markus-Perez-131219
/fighter-profile/Dequan%20Townsend/91614/,Dequan Townsend,http://www.sherdog.com/fighter/Dequan-Townsend-91563
