location,country,lat,lon,elevation,timezone,g_country
"Shenzhen, Guangdong, China",China,22.54554,114.0683,4.0,Asia/Shanghai,China
"Singapore, Singapore",Singapore,1.28967,103.85007,23.0,Asia/Singapore,Singapore
"Sioux Falls, South Dakota, USA",United States,43.54369,-96.72796,448.0,America/Chicago,United States
"St. Louis, Missouri, USA",United States,38.62727,-90.19789,142.0,America/Chicago,United States
"Stockholm, Sweden",Sweden,59.32938,18.06871,17.0,Europe/Stockholm,Sweden
"Sunrise, Florida, USA",United States,26.13397,-80.1131,1.0,America/New_York,United States
"Sydney, New South Wales, Australia",Australia,-33.86785,151.20732,58.0,Australia/Sydney,Australia
"Tampa, Florida, USA",United States,27.94752,-82.45843,1.0,America/New_York,United States
"Tokyo, Japan",Japan,35.6895,139.69171,44.0,Asia/Tokyo,Japan
"Toronto, Ontario, Canada",Canada,43.70643,-79.39864,161.0,America/Toronto,Canada
"Tulsa, Oklahoma, USA",United States,36.15398,-95.99277,220.0,America/Chicago,United States
"Uberlandia, Minas Gerais, Brazil",Brazil,-18.91861,-48.27722,867.0,America/Sao_Paulo,Brazil
"Uncasville, Connecticut, USA",United States,41.47899,-72.15119,114.0,America/New_York,United States
"Uniondale, New York, USA",United States,40.70038,-73.59291,16.0,America/New_York,United States
"Utica, New York, USA",United States,43.1009,-75.23266,139.0,America/New_York,United States
"Vancouver, British Columbia, Canada",Canada,49.2827,-123.1207,70.0,America/Vancouver,Canada
"Washington, DC, USA",United States,38.89511,-77.03637,7.0,America/New_York,United States
"Wichita, Kansas, USA",United States,37.69224,-97.33754,396.0,America/Chicago,United States
"Winnipeg, Manitoba, Canada",Canada,49.8844,-97.14704,245.0,America/Winnipeg,Canada
"Yokohama, Kanagawa, Japan",Japan,35.43333,139.65,21.0,Asia/Tokyo,Japan
"Zagreb, Croatia",Croatia,45.81444,15.97798,135.0,Europe/Zagreb,Croatia
